ID,Age, Income,MaritalSituation,hasKids,EducationalYears,EducationalDegree,Fruits,MeatProduct,FishProduct,SweetProduct,GoldProduct
27,65,"$54,450.00 ",In couple,Yes,12,Graduation,0,171,8,19,32
28,65,"$35,340.00 ",Alone,Yes,21,PhD,0,12,0,1,5
29,46,"$73,170.00 ",Alone,No,12,Graduation,174,256,50,30,32
30,50,"$65,808.00 ",Alone,Yes,21,PhD,7,80,13,7,10
31,35,"$79,529.00 ",In couple,No,12,Graduation,42,706,73,197,197
32,49,"$34,578.00 ",In couple,Yes,21,PhD,0,1,0,0,0
33,47,"$46,374.00 ",In couple,Yes,21,PhD,0,21,0,0,17
34,31,"$18,351.00 ",In couple,No,12,Graduation,12,9,0,14,7
35,34,"$95,169.00 ",Alone,No,21,PhD,21,449,106,20,20
36,37,"$65,370.00 ",In couple,No,8,2n Cycle,22,112,138,89,29
37,61,"$39,228.00 ",Alone,No,18,Master,1,6,0,3,3
38,60,"$84,865.00 ",Alone,No,21,PhD,16,349,43,16,16
39,53,"$61,314.00 ",In couple,Yes,12,Graduation,0,189,97,172,172
40,49,"$21,359.00 ",Alone,Yes,12,Graduation,2,17,6,1,10
41,66,"$66,465.00 ",In couple,Yes,21,PhD,0,204,38,29,14
42,38,"$81,698.00 ",Alone,No,8,2n Cycle,45,115,30,160,45
43,35,"$39,146.00 ",Alone,Yes,12,Graduation,1,33,13,12,12
44,51,"$25,959.00 ",Alone,Yes,8,2n Cycle,2,12,7,5,26
45,60,"$64,260.00 ",In couple,No,12,Graduation,169,816,20,0,30
46,48,"$32,300.00 ",In couple,Yes,12,Graduation,3,6,6,5,6
47,56,"$74,806.00 ",In couple,Yes,18,Master,9,249,0,28,9
48,51,"$72,967.00 ",Alone,Yes,12,Graduation,35,179,0,0,125
49,61,"$48,904.00 ",Alone,Yes,12,Graduation,10,38,0,13,27
50,37,"$14,796.00 ",In couple,Yes,8,2n Cycle,3,8,7,4,16
51,67,"$66,991.00 ",In couple,No,18,Master,36,460,189,60,12
52,43,"$52,195.00 ",Alone,Yes,8,2n Cycle,0,4,0,0,1
53,65,"$90,369.00 ",In couple,No,12,Graduation,51,981,224,23,17
54,47,"$18,393.00 ",In couple,Yes,5,Basic,10,13,16,0,4
55,69,"$47,139.00 ",Alone,Yes,12,Graduation,0,12,0,2,23
56,48,"$38,576.00 ",In couple,Yes,18,Master,0,7,0,0,0
57,46,"$61,905.00 ",In couple,Yes,21,PhD,0,43,6,2,13
58,59,"$83,715.00 ",In couple,No,12,Graduation,8,407,150,35,8
59,57,"$60,597.00 ",In couple,Yes,12,Graduation,0,257,32,16,66
60,39,"$6,560.00 ",Alone,No,18,Master,11,26,4,3,262
61,60,"$48,330.00 ",In couple,Yes,18,Master,0,4,0,0,0
62,53,"$38,236.00 ",Alone,Yes,21,PhD,0,18,2,0,10
63,44,"$22,701.00 ",In couple,Yes,18,Master,4,9,0,4,5
64,47,"$53,367.00 ",Alone,Yes,18,Master,7,140,10,3,11
65,35,"$34,728.00 ",In couple,Yes,12,Graduation,0,16,0,0,6
66,65,"$63,915.00 ",In couple,Yes,18,Master,7,115,30,0,15
67,61,"$82,504.00 ",In couple,No,8,2n Cycle,50,431,134,35,54
68,49,"$38,578.00 ",Alone,Yes,21,PhD,4,22,3,3,3
69,49,"$38,578.00 ",Alone,Yes,21,PhD,4,22,3,3,3
70,46,"$79,174.00 ",In couple,No,21,PhD,37,518,193,92,129
71,59,"$81,975.00 ",Alone,Yes,8,2n Cycle,76,184,180,138,27
72,44,"$43,263.00 ",In couple,Yes,18,Master,6,61,0,10,102
73,51,"$27,242.00 ",Alone,Yes,12,Graduation,17,26,20,1,39
74,50,"$76,445.00 ",In couple,Yes,12,Graduation,107,309,140,80,35
75,56,"$75,276.00 ",In couple,No,12,Graduation,105,125,137,42,21
76,58,"$34,213.00 ",Alone,Yes,12,Graduation,4,28,6,3,26
77,45,"$72,335.00 ",In couple,No,21,PhD,105,653,28,21,0
78,57,"$79,143.00 ",In couple,No,18,Master,37,780,27,167,32
79,74,"$27,469.00 ",In couple,No,12,Graduation,1,2,3,2,0
80,52,"$68,695.00 ",In couple,No,12,Graduation,81,356,106,50,40
81,52,"$68,695.00 ",In couple,No,12,Graduation,81,356,106,50,40
82,64,"$50,388.00 ",Alone,Yes,12,Graduation,6,37,0,3,34
83,51,"$77,622.00 ",In couple,Yes,21,PhD,7,154,19,0,14
84,59,"$46,102.00 ",Alone,Yes,12,Graduation,0,1,0,0,1
85,41,"$31,859.00 ",Alone,Yes,8,2n Cycle,4,7,15,8,11
86,34,"$23,830.00 ",Alone,No,8,2n Cycle,8,6,4,8,16
87,48,"$24,639.00 ",In couple,Yes,12,Graduation,3,16,0,4,1
88,76,"$71,604.00 ",In couple,No,21,PhD,53,528,98,75,97
89,37,"$27,255.00 ",In couple,Yes,12,Graduation,1,11,0,1,2
90,44,"$55,375.00 ",In couple,Yes,12,Graduation,11,57,10,28,14
91,61,"$77,037.00 ",In couple,Yes,21,PhD,96,333,168,53,10
92,51,"$24,163.00 ",Alone,Yes,12,Graduation,1,7,2,1,2
93,52,"$69,476.00 ",In couple,No,21,PhD,86,559,63,9,67
94,42,"$72,063.00 ",In couple,Yes,12,Graduation,32,348,76,32,90
95,59,"$58,646.00 ",In couple,Yes,18,Master,1,44,6,5,22
96,59,"$58,646.00 ",In couple,Yes,18,Master,1,44,6,5,22
97,72,"$47,570.00 ",Alone,Yes,18,Master,1,20,0,2,31
98,41,"$80,011.00 ",In couple,Yes,12,Graduation,76,536,82,178,102
99,65,"$54,998.00 ",Alone,Yes,21,PhD,22,202,39,30,8
100,73,"$60,200.00 ",Alone,Yes,21,PhD,19,132,0,6,26
101,39,"$63,211.00 ",In couple,No,12,Graduation,193,459,205,26,145
102,48,"$48,432.00 ",Alone,Yes,21,PhD,3,50,4,3,42
103,48,"$48,432.00 ",Alone,Yes,21,PhD,3,50,4,3,42
104,48,"$48,432.00 ",Alone,Yes,21,PhD,3,50,4,3,42
105,72,"$62,845.00 ",In couple,Yes,18,Master,0,45,0,0,34
106,72,"$62,845.00 ",In couple,Yes,18,Master,0,45,0,0,34
107,56,"$65,220.00 ",In couple,No,21,PhD,63,292,0,25,12
108,31,"$74,214.00 ",In couple,No,21,PhD,83,547,86,99,33
109,41,"$96,547.00 ",In couple,No,8,2n Cycle,21,125,52,101,62
110,66,"$53,863.00 ",In couple,Yes,12,Graduation,4,30,6,4,30
111,51,"$50,447.00 ",In couple,Yes,12,Graduation,7,24,2,3,27
112,68,"$37,716.00 ",In couple,Yes,12,Graduation,1,41,6,2,41
113,39,"$45,203.00 ",In couple,Yes,12,Graduation,3,67,10,8,24
114,46,"$37,368.00 ",In couple,Yes,18,Master,2,11,2,2,10
115,66,"$67,225.00 ",In couple,Yes,12,Graduation,35,322,46,7,143
116,45,"$65,104.00 ",In couple,Yes,18,Master,0,232,13,20,50
117,45,"$65,104.00 ",In couple,Yes,18,Master,0,232,13,20,50
118,72,"$81,698.00 ",In couple,No,18,Master,28,520,111,123,47
119,53,"$70,566.00 ",Alone,Yes,12,Graduation,28,215,84,28,21
120,63,"$69,096.00 ",In couple,Yes,12,Graduation,49,159,7,82,109
121,59,"$71,434.00 ",In couple,Yes,12,Graduation,36,217,172,96,168
122,43,"$33,039.00 ",In couple,Yes,12,Graduation,8,12,8,8,12
123,43,"$33,039.00 ",In couple,Yes,12,Graduation,8,12,8,8,12
124,63,"$46,610.00 ",In couple,No,12,Graduation,10,30,4,10,125
125,63,"$49,967.00 ",Alone,Yes,12,Graduation,6,69,4,12,3
126,45,"$53,359.00 ",In couple,Yes,12,Graduation,4,30,3,6,41
127,50,"$49,505.00 ",In couple,Yes,18,Master,0,100,19,0,28
128,75,"$68,657.00 ",In couple,No,18,Master,34,471,119,68,22
129,67,"$72,071.00 ",Alone,Yes,12,Graduation,69,300,150,138,150
130,67,"$72,071.00 ",Alone,Yes,12,Graduation,69,300,150,138,150
131,54,"$59,235.00 ",Alone,Yes,18,Master,40,469,80,0,91
132,64,"$21,994.00 ",In couple,Yes,12,Graduation,0,6,3,1,3
133,64,"$21,994.00 ",In couple,Yes,12,Graduation,0,6,3,1,3
134,64,,In couple,Yes,21,PhD,42,192,49,37,53
135,49,"$69,209.00 ",In couple,No,12,Graduation,32,849,229,48,128
136,32,"$31,928.00 ",In couple,Yes,12,Graduation,4,24,4,2,5
137,34,"$74,004.00 ",Alone,No,21,PhD,48,560,42,176,48
138,34,"$30,390.00 ",In couple,No,8,2n Cycle,12,12,25,1,20
139,36,"$21,355.00 ",In couple,Yes,12,Graduation,13,14,0,5,31
140,52,"$26,304.00 ",In couple,Yes,12,Graduation,1,5,2,0,4
141,32,"$85,710.00 ",In couple,No,8,2n Cycle,20,350,29,30,33
142,47,"$102,692.00 ",Alone,No,12,Graduation,148,444,32,172,148
143,50,"$58,350.00 ",Alone,Yes,12,Graduation,26,206,116,80,80
144,43,"$7,500.00 ",Alone,Yes,12,Graduation,5,4,13,4,25
145,37,"$18,890.00 ",Alone,No,18,Master,4,1,7,2,15
146,35,"$20,425.00 ",In couple,Yes,5,Basic,12,5,3,16,17
147,35,"$20,425.00 ",In couple,Yes,5,Basic,12,5,3,16,17
148,64,"$41,437.00 ",Alone,Yes,21,PhD,0,2,0,0,1
149,72,"$49,912.00 ",In couple,Yes,18,Master,8,223,32,49,42
150,72,"$49,912.00 ",In couple,Yes,18,Master,8,223,32,49,42
151,62,"$79,823.00 ",In couple,Yes,12,Graduation,73,380,114,73,43
152,67,"$85,683.00 ",Alone,No,12,Graduation,17,311,45,69,51
153,56,"$47,025.00 ",Alone,Yes,21,PhD,0,3,0,0,1
154,45,"$68,397.00 ",In couple,Yes,21,PhD,80,466,17,13,80
155,37,"$38,175.00 ",In couple,Yes,21,PhD,6,69,2,3,3
156,49,"$46,423.00 ",Alone,Yes,18,Master,0,16,0,0,8
157,49,"$46,423.00 ",Alone,Yes,18,Master,0,16,0,0,8
158,45,"$30,560.00 ",In couple,Yes,18,Master,1,5,4,5,7
159,45,"$30,560.00 ",In couple,Yes,18,Master,1,5,4,5,7
160,42,"$60,152.00 ",Alone,Yes,12,Graduation,83,300,86,58,91
161,56,"$29,672.00 ",In couple,Yes,12,Graduation,1,3,0,4,8
162,56,"$29,672.00 ",In couple,Yes,12,Graduation,1,3,0,4,8
163,74,"$70,321.00 ",In couple,No,12,Graduation,23,751,82,26,191
164,59,"$56,181.00 ",In couple,Yes,12,Graduation,103,69,8,44,48
165,31,"$24,279.00 ",In couple,No,5,Basic,36,21,20,62,108
166,52,"$68,462.00 ",In couple,No,21,PhD,64,785,84,128,48
167,45,"$55,424.00 ",In couple,Yes,21,PhD,61,184,10,53,107
168,48,"$49,094.00 ",In couple,Yes,12,Graduation,0,38,11,8,69
169,60,"$59,184.00 ",Alone,Yes,8,2n Cycle,142,113,259,151,66
170,34,"$67,430.00 ",In couple,No,12,Graduation,97,291,127,133,121
171,61,"$30,522.00 ",In couple,Yes,18,Master,8,83,19,11,26
172,44,"$31,878.00 ",Alone,Yes,8,2n Cycle,4,5,10,5,23
173,29,"$83,528.00 ",Alone,No,12,Graduation,117,678,134,44,147
174,42,"$90,300.00 ",In couple,No,12,Graduation,134,786,33,134,57
175,43,"$68,092.00 ",Alone,No,18,Master,60,207,78,36,48
176,49,"$53,761.00 ",In couple,Yes,18,Master,0,76,13,7,71
177,48,"$52,845.00 ",In couple,Yes,12,Graduation,25,292,130,41,64
178,45,"$24,027.00 ",In couple,Yes,12,Graduation,7,11,11,0,5
179,42,"$7,500.00 ",In couple,Yes,8,2n Cycle,8,11,3,8,21
180,66,"$42,586.00 ",In couple,Yes,12,Graduation,2,56,0,0,0
181,66,"$42,586.00 ",In couple,Yes,12,Graduation,2,56,0,0,0
182,48,"$9,722.00 ",In couple,Yes,5,Basic,17,16,6,16,42
183,46,"$86,836.00 ",In couple,No,21,PhD,21,273,0,21,63
184,49,"$30,467.00 ",In couple,Yes,12,Graduation,3,8,2,5,5
185,69,"$54,549.00 ",In couple,Yes,21,PhD,2,6,0,0,9
186,39,"$19,444.00 ",In couple,Yes,12,Graduation,0,23,3,2,10
187,65,"$69,245.00 ",In couple,Yes,18,Master,30,214,80,30,61
188,58,"$72,968.00 ",Alone,No,21,PhD,37,592,145,37,55
189,68,"$48,686.00 ",In couple,Yes,12,Graduation,0,7,2,0,1
190,31,"$73,687.00 ",In couple,No,12,Graduation,153,503,218,13,181
191,77,"$82,716.00 ",Alone,No,21,PhD,148,228,15,148,22
192,40,"$35,523.00 ",In couple,Yes,8,2n Cycle,5,22,12,5,11
193,46,"$60,554.00 ",Alone,Yes,21,PhD,7,76,110,15,15
194,65,"$64,090.00 ",In couple,Yes,12,Graduation,58,161,76,51,135
195,56,"$61,559.00 ",Alone,Yes,12,Graduation,83,88,32,14,34
196,59,"$71,670.00 ",Alone,No,21,PhD,16,128,0,0,160
197,70,"$67,680.00 ",Alone,Yes,21,PhD,0,48,0,6,6
198,40,"$54,386.00 ",In couple,Yes,12,Graduation,21,64,62,21,25
199,68,"$64,108.00 ",Alone,Yes,21,PhD,10,86,13,21,21
200,70,"$69,702.00 ",In couple,Yes,21,PhD,9,240,50,19,57
201,69,"$47,958.00 ",Alone,Yes,12,Graduation,11,88,15,3,22
202,61,"$67,716.00 ",In couple,Yes,12,Graduation,142,217,62,9,56
203,50,"$34,600.00 ",In couple,Yes,12,Graduation,33,60,8,3,15
204,50,"$34,600.00 ",In couple,Yes,12,Graduation,33,60,8,3,15
205,52,"$48,752.00 ",In couple,Yes,12,Graduation,57,100,71,15,0
206,33,"$15,716.00 ",In couple,Yes,8,2n Cycle,5,30,8,7,26
207,69,"$46,610.00 ",Alone,Yes,21,PhD,12,96,33,22,43
208,44,"$74,985.00 ",In couple,No,12,Graduation,51,898,247,0,86
209,76,"$45,576.00 ",Alone,No,21,PhD,19,29,2,14,25
210,76,"$113,734.00 ",Alone,No,21,PhD,2,3,1,262,3
211,34,"$57,100.00 ",Alone,Yes,12,Graduation,11,99,15,11,17
212,49,"$24,434.00 ",In couple,Yes,12,Graduation,2,8,20,0,17
213,50,"$37,126.00 ",In couple,Yes,21,PhD,3,9,4,4,7
214,63,"$45,160.00 ",Alone,Yes,12,Graduation,2,5,3,0,3
215,44,"$33,178.00 ",In couple,Yes,12,Graduation,6,2,11,2,16
216,71,"$64,866.00 ",Alone,Yes,18,Master,5,21,7,5,10
217,46,"$34,176.00 ",In couple,Yes,18,Master,2,7,4,2,2
218,53,"$50,014.00 ",Alone,Yes,18,Master,14,77,19,10,42
219,73,"$92,344.00 ",In couple,No,12,Graduation,24,694,51,19,119
220,51,"$55,282.00 ",Alone,Yes,18,Master,6,73,8,4,19
221,58,"$48,799.00 ",Alone,Yes,21,PhD,18,81,28,6,24
222,39,"$84,169.00 ",In couple,No,21,PhD,19,403,0,19,0
223,39,"$84,169.00 ",In couple,No,21,PhD,19,403,0,19,0
224,50,"$39,763.00 ",Alone,Yes,18,Master,1,60,4,6,16
225,46,"$74,165.00 ",Alone,No,21,PhD,12,240,16,12,12
226,56,"$42,720.00 ",Alone,Yes,12,Graduation,5,91,28,26,112
227,77,"$65,275.00 ",In couple,No,12,Graduation,14,218,91,14,21
228,60,"$36,443.00 ",In couple,Yes,12,Graduation,0,46,4,3,20
229,69,"$43,776.00 ",In couple,Yes,18,Master,2,71,3,2,20
230,56,"$56,046.00 ",In couple,No,12,Graduation,0,64,0,0,51
231,63,"$65,148.00 ",In couple,Yes,12,Graduation,35,422,33,12,153
232,66,"$49,431.00 ",Alone,Yes,12,Graduation,3,100,26,0,17
233,60,"$32,583.00 ",In couple,Yes,21,PhD,0,3,0,0,1
234,42,"$16,653.00 ",Alone,Yes,18,Master,7,31,15,4,7
235,50,"$26,850.00 ",In couple,Yes,8,2n Cycle,1,13,7,2,9
236,53,"$51,287.00 ",In couple,Yes,12,Graduation,0,22,13,0,30
237,48,"$43,050.00 ",In couple,Yes,8,2n Cycle,5,24,6,3,8
238,52,"$73,448.00 ",In couple,No,12,Graduation,106,189,23,41,130
239,29,"$17,256.00 ",In couple,Yes,5,Basic,4,14,8,8,22
240,60,"$86,429.00 ",Alone,No,12,Graduation,28,873,29,18,37
241,38,"$33,569.00 ",In couple,Yes,21,PhD,2,18,3,0,24
242,41,"$25,130.00 ",In couple,Yes,8,2n Cycle,5,7,0,18,18
243,69,"$62,998.00 ",In couple,Yes,12,Graduation,58,73,65,89,58
244,45,"$26,907.00 ",In couple,Yes,8,2n Cycle,1,7,0,3,2
245,45,"$26,907.00 ",In couple,Yes,8,2n Cycle,1,7,0,3,2
246,73,"$45,579.00 ",In couple,Yes,21,PhD,1,33,2,1,1
247,64,"$47,320.00 ",In couple,Yes,12,Graduation,19,111,50,15,19
248,45,"$70,179.00 ",Alone,Yes,21,PhD,88,168,69,44,133
249,45,"$70,179.00 ",Alone,Yes,21,PhD,88,168,69,44,133
250,35,"$28,072.00 ",In couple,Yes,18,Master,0,10,2,0,5
251,67,"$50,501.00 ",In couple,Yes,12,Graduation,0,38,13,0,152
252,52,"$58,917.00 ",In couple,Yes,12,Graduation,7,89,0,7,28
253,72,"$69,372.00 ",In couple,No,12,Graduation,26,269,34,13,42
254,50,"$35,178.00 ",In couple,Yes,18,Master,1,13,2,2,18
255,50,"$35,178.00 ",In couple,Yes,18,Master,1,13,2,2,18
256,53,"$75,693.00 ",Alone,No,12,Graduation,153,293,72,97,30
257,39,"$69,109.00 ",In couple,No,12,Graduation,25,459,124,29,95
258,39,"$69,109.00 ",In couple,No,12,Graduation,25,459,124,29,95
259,27,"$80,134.00 ",In couple,No,12,Graduation,26,282,52,26,26
260,51,"$64,713.00 ",Alone,Yes,12,Graduation,60,241,13,54,54
261,35,"$41,411.00 ",Alone,No,12,Graduation,32,38,11,3,18
262,38,,In couple,Yes,12,Graduation,5,6,0,2,1
263,66,"$55,521.00 ",Alone,Yes,21,PhD,0,26,0,0,4
264,53,"$43,795.00 ",In couple,Yes,18,Master,11,53,4,3,107
265,51,"$22,070.00 ",In couple,Yes,12,Graduation,7,19,8,2,21
266,72,"$36,408.00 ",In couple,Yes,18,Master,1,4,3,2,3
267,71,"$34,026.00 ",In couple,Yes,12,Graduation,6,15,12,8,17
268,71,"$34,026.00 ",In couple,Yes,12,Graduation,6,15,12,8,17
269,45,"$46,049.00 ",In couple,Yes,12,Graduation,9,112,19,14,19
270,49,"$35,641.00 ",In couple,Yes,18,Master,3,67,8,9,28
271,37,"$32,414.00 ",In couple,No,8,2n Cycle,6,5,0,9,12
272,66,"$59,821.00 ",In couple,Yes,21,PhD,0,70,0,0,35
273,41,"$34,968.00 ",In couple,Yes,12,Graduation,6,45,8,2,2
274,54,"$56,320.00 ",In couple,Yes,21,PhD,53,172,116,77,83
275,52,"$70,091.00 ",In couple,Yes,18,Master,34,137,15,0,11
276,65,"$46,097.00 ",In couple,Yes,12,Graduation,24,68,65,4,8
277,58,"$41,003.00 ",Alone,No,21,PhD,133,142,71,44,88
278,62,"$44,911.00 ",In couple,Yes,12,Graduation,0,22,2,1,31
279,46,"$33,249.00 ",Alone,Yes,12,Graduation,10,21,19,14,42
280,46,"$33,249.00 ",Alone,Yes,12,Graduation,10,21,19,14,42
281,71,"$42,873.00 ",Alone,Yes,21,PhD,0,40,3,2,15
282,52,"$51,039.00 ",In couple,Yes,21,PhD,64,79,65,0,109
283,63,"$78,952.00 ",In couple,Yes,21,PhD,19,594,99,76,134
284,55,"$29,435.00 ",Alone,Yes,18,Master,3,37,4,2,64
285,67,"$79,865.00 ",Alone,Yes,12,Graduation,99,278,185,121,38
286,33,"$34,176.00 ",Alone,Yes,12,Graduation,7,24,19,14,20
287,33,"$34,176.00 ",Alone,Yes,12,Graduation,7,24,19,14,20
288,51,"$65,968.00 ",In couple,Yes,21,PhD,9,83,19,4,4
289,65,"$86,424.00 ",Alone,No,18,Master,68,569,89,45,68
290,55,"$67,272.00 ",Alone,Yes,12,Graduation,35,271,28,28,14
291,64,"$78,499.00 ",Alone,No,12,Graduation,72,170,47,36,97
292,49,"$77,044.00 ",In couple,Yes,12,Graduation,38,242,50,34,76
293,28,"$70,515.00 ",Alone,No,12,Graduation,0,452,182,64,140
294,46,"$17,459.00 ",In couple,Yes,18,Master,4,16,3,10,30
295,51,"$80,336.00 ",In couple,No,21,PhD,19,456,160,142,66
296,65,"$15,759.00 ",In couple,No,12,Graduation,2,5,6,0,3
297,45,"$26,326.00 ",In couple,No,8,2n Cycle,0,5,0,3,9
298,45,"$62,061.00 ",In couple,Yes,12,Graduation,7,84,0,30,38
299,45,"$5,305.00 ",In couple,Yes,12,Graduation,4,7,1,3,5
300,39,"$75,777.00 ",Alone,No,18,Master,26,538,69,13,80
301,39,"$75,777.00 ",Alone,No,18,Master,26,538,69,13,80
302,50,"$71,499.00 ",In couple,Yes,18,Master,25,132,136,0,37
303,43,"$31,626.00 ",Alone,Yes,21,PhD,1,9,2,1,34
304,29,"$42,670.00 ",In couple,No,18,Master,2,46,20,4,15
305,48,"$83,917.00 ",Alone,No,12,Graduation,22,732,42,198,79
306,52,"$41,021.00 ",In couple,Yes,18,Master,7,9,6,16,12
307,65,"$79,456.00 ",In couple,No,12,Graduation,42,548,64,83,99
308,41,"$78,789.00 ",Alone,No,18,Master,50,850,21,83,83
309,69,"$50,870.00 ",In couple,Yes,21,PhD,0,8,0,0,2
310,38,"$35,876.00 ",In couple,No,18,Master,2,40,4,3,14
311,64,"$23,539.00 ",In couple,No,12,Graduation,24,11,16,1,25
312,54,"$32,557.00 ",Alone,Yes,18,Master,3,29,0,4,10
313,51,"$62,466.00 ",In couple,Yes,8,2n Cycle,129,259,168,121,83
314,51,"$62,466.00 ",In couple,Yes,8,2n Cycle,129,259,168,121,83
315,55,"$54,198.00 ",In couple,Yes,12,Graduation,0,28,3,2,17
316,43,"$82,170.00 ",In couple,No,21,PhD,93,651,49,55,37
317,57,"$61,798.00 ",Alone,No,21,PhD,4,89,11,8,13
318,29,"$15,253.00 ",Alone,Yes,5,Basic,3,3,8,1,13
319,33,"$78,285.00 ",In couple,No,18,Master,107,391,175,67,40
320,66,"$62,535.00 ",Alone,Yes,12,Graduation,48,90,0,45,52
321,48,"$27,190.00 ",In couple,Yes,5,Basic,6,7,0,1,3
322,53,"$48,985.00 ",In couple,Yes,8,2n Cycle,13,18,10,7,8
323,51,"$72,940.00 ",In couple,No,12,Graduation,74,298,162,149,116
324,36,"$36,145.00 ",In couple,Yes,8,2n Cycle,4,76,17,1,18
325,44,"$157,146.00 ",In couple,No,12,Graduation,0,1725,2,1,1
326,61,"$81,843.00 ",In couple,No,18,Master,86,537,34,69,138
327,33,"$41,883.00 ",In couple,Yes,12,Graduation,34,41,73,16,116
328,57,"$45,759.00 ",In couple,Yes,21,PhD,1,18,3,0,4
329,57,"$45,759.00 ",In couple,Yes,21,PhD,1,18,3,0,4
330,35,"$78,394.00 ",In couple,No,12,Graduation,27,697,216,24,166
331,32,"$30,279.00 ",Alone,Yes,12,Graduation,4,14,4,4,1
332,32,"$30,279.00 ",Alone,Yes,12,Graduation,4,14,4,4,1
333,51,"$31,880.00 ",Alone,Yes,12,Graduation,1,5,2,0,3
334,48,"$60,208.00 ",Alone,Yes,12,Graduation,23,71,15,0,59
335,38,"$78,687.00 ",In couple,No,12,Graduation,185,687,145,55,241
336,48,"$37,401.00 ",In couple,Yes,21,PhD,3,19,3,1,3
337,48,"$37,401.00 ",In couple,Yes,21,PhD,3,19,3,1,3
338,67,"$75,315.00 ",In couple,Yes,12,Graduation,15,171,142,23,31
339,56,"$69,263.00 ",Alone,Yes,12,Graduation,5,32,13,5,21
340,75,"$78,569.00 ",In couple,No,12,Graduation,79,622,207,175,95
341,55,"$57,705.00 ",In couple,Yes,21,PhD,0,53,6,4,40
342,66,"$74,805.00 ",In couple,Yes,8,2n Cycle,162,209,41,162,37
343,60,"$66,426.00 ",In couple,Yes,21,PhD,24,97,32,24,157
344,72,"$51,529.00 ",Alone,Yes,18,Master,4,35,6,0,22
345,75,"$18,100.00 ",In couple,No,12,Graduation,1,2,4,3,1
346,44,"$59,601.00 ",Alone,Yes,8,2n Cycle,7,69,0,7,23
347,44,"$20,981.00 ",In couple,No,8,2n Cycle,12,10,6,13,30
348,45,"$74,068.00 ",In couple,No,12,Graduation,30,537,140,76,15
349,38,"$36,790.00 ",In couple,No,12,Graduation,3,14,15,21,10
350,50,"$18,793.00 ",In couple,Yes,12,Graduation,16,20,0,17,20
351,67,"$27,421.00 ",Alone,No,12,Graduation,12,96,78,40,55
352,49,"$30,675.00 ",In couple,Yes,12,Graduation,2,16,11,2,21
353,47,"$83,145.00 ",In couple,No,12,Graduation,35,731,39,137,114
354,53,"$34,053.00 ",In couple,Yes,18,Master,0,21,7,0,12
355,38,"$31,788.00 ",Alone,Yes,18,Master,7,23,0,8,6
356,47,"$45,894.00 ",In couple,Yes,8,2n Cycle,2,7,0,2,13
357,43,"$41,986.00 ",Alone,Yes,12,Graduation,5,8,8,3,12
358,59,"$42,769.00 ",In couple,Yes,21,PhD,0,13,3,1,0
359,39,"$58,582.00 ",In couple,Yes,8,2n Cycle,35,106,101,77,42
360,57,"$49,096.00 ",In couple,Yes,12,Graduation,1,32,2,1,7
361,41,"$76,412.00 ",Alone,No,21,PhD,53,804,23,71,17
362,31,"$18,929.00 ",In couple,No,12,Graduation,0,8,23,4,18
363,31,"$18,929.00 ",In couple,No,12,Graduation,0,8,23,4,18
364,31,"$18,929.00 ",In couple,No,12,Graduation,0,8,23,4,18
